source_GEOID,isolation_score,isolation_rank,county_name
36061,25.129315379378998,1,"New York County, New York"
36005,22.176308450134712,2,"Bronx County, New York"
36047,20.842282931468905,3,"Kings County, New York"
36081,15.73038621406046,4,"Queens County, New York"
06075,14.260788002964185,5,"San Francisco County, California"
35028,13.417727069299762,6,"Los Alamos County, New Mexico"
48261,12.97845769241683,7,"Kenedy County, Texas"
46102,12.703237312381606,8,"Oglala Lakota County, South Dakota"
48301,12.473068114964377,9,"Loving County, Texas"
34017,11.983916636761185,10,"Hudson County, New Jersey"
25025,11.728073583168147,11,"Suffolk County, Massachusetts"
13053,11.689892167684736,12,"Chattahoochee County, Georgia"
11001,11.331747480533592,13,"District of Columbia, District of Columbia"
13239,10.715952630678153,14,"Quitman County, Georgia"
16065,10.619170137270531,15,"Madison County, Idaho"
36085,10.51412626285145,16,"Richmond County, New York"
48105,10.331895415732276,17,"Crockett County, Texas"
48173,10.005371220277446,18,"Glasscock County, Texas"
46137,9.995602827495286,19,"Ziebach County, South Dakota"
42101,9.688798104499948,20,"Philadelphia County, Pennsylvania"
06003,9.685089467872682,21,"Alpine County, California"
35011,9.467426603489812,22,"De Baca County, New Mexico"
08097,9.45597061572074,23,"Pitkin County, Colorado"
46095,9.432108796126002,24,"Mellette County, South Dakota"
46121,9.251402254068203,25,"Todd County, South Dakota"
51013,9.225907077498185,26,"Arlington County, Virginia"
30103,9.223174634009144,27,"Treasure County, Montana"
38085,9.209377107876765,28,"Sioux County, North Dakota"
35033,9.20213536730055,29,"Mora County, New Mexico"
48247,8.918779474317432,30,"Jim Hogg County, Texas"
48319,8.918322050922484,31,"Mason County, Texas"
48377,8.827137892495747,32,"Presidio County, Texas"
13309,8.792640468768573,33,"Wheeler County, Georgia"
32015,8.617409907599352,34,"Lander County, Nevada"
46017,8.493032688024611,35,"Buffalo County, South Dakota"
04001,8.476878195938486,36,"Apache County, Arizona"
35021,8.468001389449869,37,"Harding County, New Mexico"
04012,8.438907947057363,38,"La Paz County, Arizona"
35003,8.43152989733751,39,"Catron County, New Mexico"
08053,8.344210288202577,40,"Hinsdale County, Colorado"
51610,8.088933696695046,41,"Falls Church city, Virginia"
48505,8.08530877725851,42,"Zapata County, Texas"
48311,8.083241248805129,43,"McMullen County, Texas"
48283,8.081497999487333,44,"La Salle County, Texas"
25019,8.067884195312919,45,"Nantucket County, Massachusetts"
46031,8.048570969300314,46,"Corson County, South Dakota"
48229,8.002369261043167,47,"Hudspeth County, Texas"
16025,7.9961883932982545,48,"Camas County, Idaho"
12086,7.916448397351144,49,"Miami-Dade County, Florida"
55078,7.915943439632323,50,"Menominee County, Wisconsin"
48243,7.903260447628804,51,"Jeff Davis County, Texas"
48109,7.838297422951217,52,"Culberson County, Texas"
06085,7.832604060674254,53,"Santa Clara County, California"
35031,7.808330573157032,54,"McKinley County, New Mexico"
13141,7.752469438783851,55,"Hancock County, Georgia"
46071,7.752384176821845,56,"Jackson County, South Dakota"
48421,7.730415018578563,57,"Sherman County, Texas"
36109,7.6881352517710635,58,"Tompkins County, New York"
48269,7.681843247191071,59,"King County, Texas"
48137,7.645490487914966,60,"Edwards County, Texas"
25007,7.597794681374247,61,"Dukes County, Massachusetts"
51510,7.597321792857091,62,"Alexandria city, Virginia"
48427,7.573950088725842,63,"Starr County, Texas"
34013,7.5737421046595514,64,"Essex County, New Jersey"
32017,7.543845015038013,65,"Lincoln County, Nevada"
49029,7.526790045208867,66,"Morgan County, Utah"
38079,7.502898054242906,67,"Rolette County, North Dakota"
51685,7.44848885632735,68,"Manassas Park city, Virginia"
01105,7.448208785149503,69,"Perry County, Alabama"
30003,7.435278849886558,70,"Big Horn County, Montana"
08111,7.429344746642031,71,"San Juan County, Colorado"
08033,7.355362172410711,72,"Dolores County, Colorado"
28055,7.344327880494705,73,"Issaquena County, Mississippi"
36119,7.3257770860525255,74,"Westchester County, New York"
08113,7.303291443155032,75,"San Miguel County, Colorado"
53031,7.29275625060626,76,"Jefferson County, Washington"
48131,7.2870932534997275,77,"Duval County, Texas"
06081,7.220874445782347,78,"San Mateo County, California"
22091,7.198591790942609,79,"St. Helena Parish, Louisiana"
13049,7.174359817572591,80,"Charlton County, Georgia"
08079,7.156074225823907,81,"Mineral County, Colorado"
49031,7.143307263300048,82,"Piute County, Utah"
51678,7.104771742827422,83,"Lexington city, Virginia"
53033,7.080369393762314,84,"King County, Washington"
48433,7.053505225218416,85,"Stonewall County, Texas"
