GEOID,County_Name,Population_2020,RUCC_2023,Description
01001,Autauga County,58805,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01003,Baldwin County,231767,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01005,Barbour County,25223,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01007,Bibb County,22293,1,Metro - Counties in metro areas of 1 million population or more
01009,Blount County,59134,1,Metro - Counties in metro areas of 1 million population or more
01011,Bullock County,10357,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01013,Butler County,19051,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01015,Calhoun County,116441,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01017,Chambers County,34772,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01019,Cherokee County,24971,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01021,Chilton County,45014,1,Metro - Counties in metro areas of 1 million population or more
01023,Choctaw County,12665,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01025,Clarke County,23087,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01027,Clay County,14236,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01029,Cleburne County,15056,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01031,Coffee County,53465,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01033,Colbert County,57227,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01035,Conecuh County,11597,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01037,Coosa County,10387,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01039,Covington County,37570,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01041,Crenshaw County,13194,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01043,Cullman County,87866,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01045,Dale County,49326,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01047,Dallas County,38462,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01049,DeKalb County,71608,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01051,Elmore County,87977,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01053,Escambia County,36757,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01055,Etowah County,103436,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01057,Fayette County,16321,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01059,Franklin County,32113,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01061,Geneva County,26659,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01063,Greene County,7730,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01065,Hale County,14785,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01067,Henry County,17146,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01069,Houston County,107202,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01071,Jackson County,52579,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01073,Jefferson County,674721,1,Metro - Counties in metro areas of 1 million population or more
01075,Lamar County,13972,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01077,Lauderdale County,93564,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01079,Lawrence County,33073,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01081,Lee County,174241,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01083,Limestone County,103570,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01085,Lowndes County,10311,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01087,Macon County,19532,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01089,Madison County,388153,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01091,Marengo County,19323,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01093,Marion County,29341,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01095,Marshall County,97612,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01097,Mobile County,414809,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01099,Monroe County,19772,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01101,Montgomery County,228954,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01103,Morgan County,123421,3,"Metro - Counties in metro areas of fewer than 250,000 population"
01105,Perry County,8511,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01107,Pickens County,19123,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01109,Pike County,33009,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01111,Randolph County,21967,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01113,Russell County,59183,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01115,St. Clair County,91103,1,Metro - Counties in metro areas of 1 million population or more
01117,Shelby County,223024,1,Metro - Counties in metro areas of 1 million population or more
01119,Sumter County,12345,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01121,Talladega County,82149,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01123,Tallapoosa County,41311,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01125,Tuscaloosa County,227036,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01127,Walker County,65342,1,Metro - Counties in metro areas of 1 million population or more
01129,Washington County,15388,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01131,Wilcox County,10600,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01133,Winston County,23540,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
02013,Aleutians East Borough,3420,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
02016,Aleutians West Census Area,5232,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
02020,Anchorage Municipality,291247,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
02050,Bethel Census Area,18666,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area"
02060,Bristol Bay Borough,844,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
02063,Chugach Census Area,7102,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
02066,Copper River Census Area,2617,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
02068,Denali Borough,1619,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
02070,Dillingham Census Area,4857,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
02090,Fairbanks North Star Borough,95655,3,"Metro - Counties in metro areas of fewer than 250,000 population"
02100,Haines Borough,2080,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
02105,Hoonah-Angoon Census Area,2365,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
02110,Juneau City and Borough,32255,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
02122,Kenai Peninsula Borough,58799,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area"
02130,Ketchikan Gateway Borough,13948,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area"
