GEOID,NAME,STATEFP,COUNTYFP,ALAND,AWATER,land_area_sq_miles,water_coverage
01003,Baldwin,01,003,4117725048,1132887203,1589.8625356618434,0.2157628765643925
01069,Houston,01,069,1501742235,4795415,579.8259208217984,0.003183070134357412
01005,Barbour,01,005,2292160151,50523213,885.0079855579258,0.021566385699574208
01119,Sumter,01,119,2340898915,24634880,903.8261276181153,0.010414089222513094
05091,Miller,05,091,1616257232,36848741,624.0404085254291,0.022290610282611326
05133,Sevier,05,133,1459636819,45919661,563.5689287529931,0.03050012510988628
05093,Mississippi,05,093,2336409866,72224609,902.0928961024956,0.029985707565694457
06037,Los Angeles,06,037,10515988121,1785003256,4060.2457289282524,0.14511052006243513
06087,Santa Cruz,06,087,1152818089,419720203,445.10555434598325,0.2669061892707157
06097,Sonoma,06,097,4080103614,497291856,1575.3368187290127,0.10864078912543687
06013,Contra Costa,06,013,1856752855,225364426,716.8962880563041,0.10823810361525932
06003,Alpine,06,003,1912292607,12557304,738.3403062739941,0.006523783453576501
08067,La Plata,08,067,4376255271,25642579,1689.6816132089564,0.005825346219699305
08113,San Miguel,08,113,3332602596,5207582,1286.7250610147591,0.0015601791960261678
10001,Kent,10,001,1517891094,549776917,586.0610301645787,0.26589225836797065
12123,Taylor,12,123,2702230205,1213570858,1043.3369191927948,0.30991637176538556
12017,Citrus,12,017,1507146172,981162732,581.9123925704523,0.3943090548053595
12071,Lee,12,071,2022848994,1900537643,781.0263661056975,0.4844125289811451
12101,Pasco,12,101,1933694371,694082239,746.6035735839868,0.2641328933207911
12033,Escambia,12,033,1701606700,1213969803,656.9940224821883,0.4163738463905435
12037,Franklin,12,037,1411539848,2270399638,544.99858435643,0.6166314374890842
02090,Fairbanks North Star,02,090,18996920890,259490619,7334.752190560257,0.013475543918383761
12065,Jefferson,12,065,1549018611,193063920,598.0794317163079,0.11082363582922582
13185,Lowndes,13,185,1287842349,34541793,497.2387127956302,0.02612084635842525
13127,Glynn,13,127,1086851549,429106784,419.6357307587629,0.2830597481863639
13051,Chatham,13,051,1120728785,510896819,432.7158047560141,0.3131213544011044
13179,Liberty,13,179,1337632044,222884791,516.462621585018,0.14282754661855346
13073,Columbia,13,073,751598753,45345679,290.19390204920245,0.056899423823316204
13137,Habersham,13,137,717081396,5672376,276.8666759511366,0.007848282803565915
16041,Franklin,16,041,1717211140,12153472,663.0189304730782,0.007027709434822181
16033,Clark,16,033,4566524479,2476453,1763.144965415092,5.420119270835815e-4
16079,Shoshone,16,079,6830898576,13962457,2637.4246955034273,0.002039845211273846
17031,Cook,17,031,2447345098,1786339408,944.9252288070358,0.42193493763373024
16073,Owyhee,16,073,19860555061,74132051,7668.203209505094,0.0037187466541862622
16035,Clearwater,16,035,6364412864,79592497,2457.3135544522383,0.012351401425222992
18123,Perry,18,123,988702371,11837413,381.74012112256423,0.011831026801029234
18075,Jay,18,075,994310124,458556,383.9052866690777,4.609674683364579e-4
19045,Clinton,19,045,1799934697,39410955,694.9586745205509,0.02142661710002509
04009,Graham,04,009,11970605959,47476264,4621.8768182757285,0.00395040266151123
19195,Worth,19,195,1036314929,4709127,400.12343261345484,0.004523552527781356
20199,Wallace,20,199,2366348284,140936,913.6521839617718,5.955488780971502e-5
01117,Shelby,01,117,2034281696,62286215,785.440557043486,0.029708656072243014
01055,Etowah,01,055,1385916764,35022972,535.1054562760346,0.02464775325278116
01051,Elmore,01,051,1601948960,99777799,618.5159537991699,0.05863326675231532
01099,Monroe,01,099,2656469672,22609681,1025.6686785549323,0.008439347261096226
21095,Harlan,21,095,1206493477,6014134,465.82973759609166,0.004960079380483163
22075,Plaquemines,22,075,2021731566,4627380285,780.59492474116,0.6959396064760228
22117,Washington,22,117,1734352072,16140411,669.6370813441189,0.009220497178221815
22017,Caddo,22,017,2277812595,149099518,879.46836319441,0.06143589510363122
01035,Conecuh,01,035,2202213383,6426488,850.2793441406159,0.002909703879016861
01085,Lowndes,01,085,1854651875,23271196,716.0850951400124,0.012391985784384668
23015,Lincoln,23,015,1180688993,631299424,455.8665705838571,0.3484014677341064
23017,Oxford,23,017,5379294383,255884970,2076.9571810001753,0.04540848728510736
24005,Baltimore,24,005,1549740650,215957832,598.3582125338722,0.12230731022398875
24025,Harford,24,025,1132149297,231888421,437.1252891084712,0.17000147278918573
24041,Talbot,24,041,695556098,539368999,268.5557118969002,0.43676252131427856
24015,Cecil,24,015,896912539,185281256,346.2998687136825,0.17120894321889915
25009,Essex,25,009,1275603096,870174947,492.51311077452436,0.4055288709094131
25005,Bristol,25,005,1432549561,357457333,553.1104799284599,0.19969606496945705
25021,Norfolk,25,021,1025902909,124957102,396.1033292006245,0.1085771517001645
26041,Delta,26,041,3033120256,2124407010,1171.0942826339626,0.4119041743132881
26055,Grand Traverse,26,055,1202625102,354771223,464.3361496525795,0.22779765002977004
26007,Alpena,26,007,1481211409,2908626983,571.8989245549043,0.6625817907785978
26103,Marquette,26,103,4685420990,4185337774,1809.051165138558,0.4718128274421419
26147,St. Clair,26,147,1868645087,297870348,721.4879045197157,0.13748821872575304
26071,Iron,26,071,3020175215,116800609,1166.096174341496,0.03723350626625677
27027,Clay,27,027,2706993097,19303392,1045.175882082238,0.0070804448738003714
27091,Martin,27,091,1844928117,44669375,712.3307311720853,0.023639624411609876
28033,DeSoto,28,033,1233730201,50234812,476.34589556608387,0.039124751446790396
28157,Wilkinson,28,157,1756287539,25018736,678.1064125352544,0.014045162446867819
29113,Lincoln,29,113,1622789067,36002285,626.5623641282367,0.02170392614875412
30001,Beaverhead,30,001,14355492119,78345288,5542.686516204457,0.0054278904348752585
30105,Valley,30,105,12758579872,351382239,4926.1152481743065,0.026802689132501032
31033,Cheyenne,31,033,3097645443,292549,1196.0075967144405,9.443345888635204e-5
31049,Deuel,31,049,1139142625,2295555,439.82542815544207,0.0020111076011142363
34015,Gloucester,34,015,833996720,38239948,322.0079350943736,0.043841252498226777
36013,Chautauqua,36,013,2746450219,1139029655,1060.4103621171078,0.2931503165469749
36045,Jefferson,36,045,3283923657,1524539436,1267.9300175162966,0.3170533716312336
36059,Nassau,36,059,736960644,437290665,284.5420965447679,0.3723995550598104
37133,Onslow,37,133,1973791552,370648831,762.0851817813372,0.1580969316548409
37009,Ashe,37,009,1104018837,8062965,426.26405773833477,0.007250334449767392
37169,Stokes,37,169,1163743205,17577923,449.3237652327437,0.014879885395565362
37053,Currituck,37,053,678344374,685095432,261.9102280817429,0.5024757447927994
37173,Swain,37,173,1366803332,32416279,527.7257188942297,0.023167398988092086
37131,Northampton,37,131,1390073545,35850398,536.7103983991277,0.025141872521317218
38035,Grand Forks,38,035,3719806622,8267350,1436.225371846303,0.002217592800489636
38067,Pembina,38,067,2896993134,7008436,1118.5353067838419,0.0024133719734869153
39123,Ottawa,39,123,659674516,855668003,254.70175557949474,0.5646696982835734
45051,Horry,45,051,2934867846,314856610,1133.1588148995743,0.09688717128576146
02240,Southeast Fairbanks,02,240,64315282486,749292918,24832.26949421119,0.011516142437685613
40079,Le Flore,40,079,4116561528,49746379,1589.4132980765432,0.011940159035394117
40023,Choctaw,40,023,1995281898,75475686,770.3826507928743,0.036448344597732496
40113,Osage,40,113,5818878186,148530641,2246.6814368760997,0.02489030755324852
41015,Curry,41,015,4217491537,934612806,1628.3825925686685,0.18140409117874887
41045,Malheur,41,045,25609041936,109006701,9887.706409153,0.004238529234413781
41001,Baker,41,001,7945996815,51832631,3067.9665342863927,0.0064808372509022865
42111,Somerset,42,111,2784359437,17101197,1075.047193073976,0.006104385973677759
42133,York,42,133,2342295977,16503209,904.3655362740856,0.006996445097128332
45003,Aiken,45,003,2773070081,24554644,1070.6883483364268,0.00877696132028573
45091,York,45,091,1763872776,39009230,681.0350889256981,0.021637150889618453
46127,Union,46,127,1193354526,16502827,460.7567602337632,0.013640308057044142
46009,Bon Homme,46,009,1459586268,46799495,563.5494109026987,0.031067403947577007
46089,McPherson,46,089,2943956443,38506560,1136.6679418334006,0.012910993350551883
47065,Hamilton,47,065,1404197535,86784458,542.1637014471224,0.058206241529035016
47059,Greene,47,059,1611409726,5099752,622.1687759878124,0.0031547925139972484
47091,Johnson,47,091,772956196,11007739,298.4400569253581,0.01404112932822605
48355,Nueces,48,355,2173636003,845192062,839.2455559930951,0.2799735671597448
48215,Hidalgo,48,215,4069375491,30138614,1571.1946672650736,0.00735175272680273
48061,Cameron,48,061,2309542672,1004829810,891.719414463719,0.30317347113431653
48479,Webb,48,479,8706187276,36554554,3361.4777133532,0.004181131584437968
48057,Calhoun,48,057,1312945541,1361646236,506.9311094518156,0.5091043230258163
48323,Maverick,48,323,3313828190,31862966,1279.4762223038786,0.00952358257661007
48465,Val Verde,48,465,8144863966,227711025,3144.7495708571014,0.027197251173596566
48039,Brazoria,48,039,3530854198,635541938,1363.2704327869305,0.15253996913749057
48229,Hudspeth,48,229,11837584063,2114586,4570.5167768917545,1.7860133629149432e-4
48203,Harrison,48,203,2331141019,40649337,900.0585828946472,0.017138672015074168
48387,Red River,48,387,2703677244,33255080,1043.8956240764194,0.01215049407995519
48315,Marion,48,315,986530318,102099491,380.90148676744883,0.09378715349875194
49045,Tooele,49,045,18234213841,636479912,7040.26935143061,0.03372848504304801
49023,Juab,49,023,8784753342,36271581,3391.812241145046,0.004111946323315019
51001,Accomack,51,001,1163732898,2229252990,449.31978567777975,0.6570180553606829
51095,James City,51,095,368550685,95239463,142.29821557867388,0.20535033659231589
51131,Northampton,51,131,548331040,1511369142,211.71179898471348,0.7337811372781633
51057,Essex,51,057,666543883,74795386,257.35403301659954,0.10089224883620727
51107,Loudoun,51,107,1335753248,14496364,515.7372143910623,0.01073606233333989
51083,Halifax,51,083,2117913727,30523987,817.7310648647382,0.01420752707937243
53067,Thurston,53,067,1871269446,133615150,722.5011751984497,0.06664480851744746
53029,Island,53,029,539943914,799920796,208.4735115192228,0.5970160942592481
54047,McDowell,54,047,1381648566,3731571,533.4574958085715,0.0026935358031627385
54011,Cabell,54,011,727847834,18112163,281.02362091933935,0.02428034086658939
54073,Pleasants,54,073,337007574,11468023,130.1193522858271,0.0329091135756057
54037,Jefferson,54,037,542072979,6150171,209.2955481146805,0.01121837157004406
54065,Morgan,54,065,593295507,1401571,229.072676820407,0.002356781379712782
17125,Mason,17,125,1396914848,62748513,539.351840265212,0.04298834558470499
54003,Berkeley,54,003,831767529,1060958,321.1472396340354,0.00127392136143393
17007,Boone,17,007,727114620,3360626,280.74052541013606,0.004600602167427861
55011,Buffalo,55,011,1750290756,87549574,675.7910416654038,0.04763720360843317
55121,Trempealeau,55,121,1898373580,23331638,732.9661398830365,0.012141111852879404
55075,Marinette,55,075,3624605714,389870113,1399.4680956256132,0.09711606939512903
56029,Park,56,029,17972027722,67638744,6939.038724540857,0.0037494453751393433
56039,Teton,56,039,10351781979,570867193,3996.84538280311,0.05226453619543206
06057,Nevada,06,057,2480587299,41531993,957.7601144190585,0.016467100954239876
05085,Lonoke,05,085,1998045643,82719024,771.4497387072936,0.03975414678646117
05099,Nevada,05,099,1600067809,7489490,617.7896373346271,0.00465892569095915
05013,Calhoun,05,013,1628067843,9887802,628.6005109444325,0.00603667262308559
06007,Butte,06,007,4238488659,105260548,1636.4896267284007,0.02423264856782511
06089,Shasta,06,089,9778891285,185818272,3775.6510483580987,0.018647635531882267
06047,Merced,06,047,5019407135,105277636,1938.0039371609466,0.020543241331789617
06009,Calaveras,06,009,2641829627,43797225,1020.0161255567158,0.016308008302562207
06033,Lake,06,033,3250647505,189100321,1255.082023349837,0.05497505356952292
06115,Yuba,06,115,1636887866,31084093,632.0059408767167,0.018635860652379228
08035,Douglas,08,035,2177889325,6795841,840.8877728048249,0.0031106729270481987
08019,Clear Creek,08,019,1023234059,3274900,395.0728804506862,0.0031903277329311647
08049,Grand,08,049,4782276778,59886083,1846.4473941019264,0.01236763089534588
08029,Delta,08,029,2958090989,16786781,1142.125320575797,0.005642847302596906
08091,Ouray,08,091,1400332623,3986292,540.6714505753906,0.002838594536768737
08055,Huerfano,08,055,4120756305,5792101,1591.032910537311,0.0014036188189573365
08111,San Juan,08,111,1003660671,2035929,387.515553063738,0.0020243968210690976
09140,Naugatuck Valley,09,140,1069106360,22747873,412.7842749547768,0.02083416660619385
12107,Putnam,12,107,1886428661,255286691,728.3541808551166,0.119197301715004
12001,Alachua,12,001,2267910953,241291892,875.6453178298386,0.09616276837913437
12129,Wakulla,12,129,1570615734,804111188,606.4181275581923,0.3386120654760489
12041,Gilchrist,12,041,905705571,14362143,349.69487736256394,0.015609876079186059
13089,DeKalb,13,089,693295479,8860287,267.6828820178749,0.012618691505554055
13157,Jackson,13,157,879497245,8783520,339.57578608179705,0.009888224924019378
13267,Tattnall,13,267,1245369512,19447412,480.839858685065,0.015375673452010198
13031,Bulloch,13,031,1750735216,32827781,675.9626486314744,0.01840573114334464
13075,Cook,13,075,591684404,12308449,228.45062647199035,0.020378467955149793
13289,Twiggs,13,289,930478095,8740237,359.25960238967895,0.009305862867250764
13303,Washington,13,303,1757373959,15099021,678.5258816440122,0.00851861843332585
13301,Warren,13,301,736483608,6034478,284.35791191473044,0.00812704513705273
15003,Honolulu,15,003,1556027672,4054461969,600.7856453085634,0.7226574200175054
15007,Kauai,15,007,1605377395,1674359172,619.8396799583751,0.51051635940735
16085,Valley,16,085,9492613291,177110437,3665.118496490389,0.018315976958799003
16023,Butte,16,023,5792474009,5259978,2236.4867271011785,9.072472127548821e-4
16077,Power,16,077,3635892403,99205466,1403.8259106287012,0.026560339107408806
17017,Cass,17,017,973198203,20569928,375.7539283674701,0.020698920963888305
18035,Delaware,18,035,1015558818,9841207,392.10945332142643,0.009597431987579676
18013,Brown,18,013,808043848,12025990,311.98747515480864,0.014664592505108083
18027,Daviess,18,027,1112436829,19061974,429.51426263309855,0.01684665856425126
19041,Clay,19,041,1469139443,13866670,567.2379124058524,0.009350379528745746
20139,Osage,20,139,1827253333,37137002,705.5064588906798,0.019919113129279336
20097,Kiowa,20,097,1871627806,596764,722.6395387685371,3.1874595043905444e-4
20069,Gray,20,069,2250356175,1113338,868.8673801242561,4.944939265540035e-4
20067,Grant,20,067,1488745953,871232,574.8080282685469,5.84869729466769e-4
21183,Ohio,21,183,1520569116,23652967,587.0950202435292,0.015317075995991957
21193,Perry,21,193,879880331,7473919,339.7236964138947,0.008422700404038185
21115,Johnson,21,115,678488580,5619567,261.96590632983987,0.008214442445457385
21061,Edmonson,21,061,784263747,13462746,302.80592679170996,0.01687639324772933
21167,Mercer,21,167,645898189,10166125,249.38268596678108,0.015495622583123763
